names,scores,pvals,pvals_adj,cluster
actc1a,1.2360574,0.217008087,0.248288532,CM
atp2a2a,11.908149,7.08E-29,2.90E-28,CM
btg1,16.137602,2.47E-50,2.24E-49,CM
fhl2a,15.891493,4.68E-44,3.13E-43,CM
gata5,7.729222,2.99E-14,7.92E-14,CM
mef2cb,29.777122,1.19E-119,7.57E-118,CM
myh7,9.295898,1.63E-18,5.61E-18,CM
myl7,22.98348,1.73E-76,3.14E-75,CM
rbfox1l,36.58415,7.39E-188,9.39E-186,CM
rbm24a,23.729418,1.83E-83,4.66E-82,CM
smtnl1,16.168726,1.81E-46,1.36E-45,CM
tnfaip6,8.682499,1.48E-16,4.69E-16,CM
tnnc1a,17.193214,8.69E-50,7.36E-49,CM
tnnt2a,23.371609,4.05E-94,1.71E-92,CM
ttn.2,16.267466,2.70E-51,2.86E-50,CM
angptl7,-3.1563542,0.001650109,0.002465458,CM
blf,2.0535636,0.04063846,0.051610844,CM
cdx4,3.8189704,0.000153536,0.000256567,CM
cfl1l,-16.336884,4.62E-53,5.33E-52,CM
clec14a,3.5089393,0.00049817,0.000800856,CM
cthrc1a,-6.4790487,1.43E-10,3.25E-10,CM
egfl6,-3.8750226,0.00011455,0.000193972,CM
epcam,-16.309183,2.30E-53,2.92E-52,CM
etv2,2.2504842,0.024927416,0.032636926,CM
foxd1,-2.9308894,0.00346261,0.004997176,CM
foxi1,-12.916269,2.65E-35,1.29E-34,CM
fsta,-8.388985,1.77E-16,5.49E-16,CM
her15.1,-1.9404323,0.052659059,0.065565691,CM
hes6,-4.68302,3.35E-06,5.91E-06,CM
hoxb9a,-3.2329257,0.001265696,0.001936667,CM
irx1b,-8.227634,6.63E-16,1.96E-15,CM
lmx1bb,-6.9439516,7.21E-12,1.66E-11,CM
meox1,-5.6344604,2.39E-08,4.73E-08,CM
nrp2a,-13.757132,1.37E-39,7.59E-39,CM
otx2b,-5.4529366,6.94E-08,1.34E-07,CM
rac2,-4.880312,1.24E-06,2.25E-06,CM
rarga,-6.4371676,1.87E-10,4.17E-10,CM
rasl11a,-3.6300287,0.000304807,0.000496288,CM
rspo3,-7.3782616,3.30E-13,8.22E-13,CM
yrk,-1.2704216,0.204367184,0.235951204,CM
aplnra,8.943455,2.99E-12,3.80E-11,LPM-1a
cxcl12a,6.4077053,4.04E-08,2.14E-07,LPM-1a
cyp26c1,15.2898445,4.27E-21,1.09E-19,LPM-1a
hey1,2.1505055,0.036050586,0.06732977,LPM-1a
