Supplementary Table S1. Codebook of genes targeted by MERFISH.,,,,
Gene name,Purpose/function,Isoform name,Gene FPKM from bulk RNA-seq,Codebook
gata5,CM,,,
mef2cb,CM,,,
tnnc1a,CM,,,
myl7,CM,,,
tnnt2a,CM,,,
rbfox1l,CM,,,
btg1,CM,,,
ttn.2,CM,,,
atp2a2a,CM,,,
smtnl1,CM,,,
fhl2a,CM,,,
actc1a,CM,,,
myh7,CM,,,
tnfaip6,CM,,,
rbm24a,CM,,,
spi1b,EC,,,
yrk,EC,,,
dusp5,EC,,,
tal1,EC,,,
sox7,EC,,,
rac2,EC,,,
blf,EC,,,
cdh5,EC,,,
pfn1,EC,,,
elmo1,EC,,,
clec14a,EC,,,
fli1b,EC,,,
etv2,EC,,,
fli1a,EC,,,
cldnb,Epidermis,,,
cfl1l,Epidermis,,,
cldn7b,Epidermis,,,
cd9b,Epidermis,,,
epcam,Epidermis,,,
fermt1,Epidermis,,,
apela,Epidermis,,,
pltp,Epidermis,,,
aplnra,LPM-1,,,
stmn1a,LPM-1,,,
sparc,LPM-1,,,
jdp2b,LPM-1,,,
efnb2a,LPM-1,,,
nkx2.7,LPM-1,,,
fthl27,LPM-1,,,
cxcl12a,LPM-1,,,
cxcl12b,LPM-1,,,
cyp26c1,LPM-1,,,
her9,LPM-1,,,
hey1,LPM-1,,,
hand2,LPM-2,,,
fstl1a,LPM-2,,,
bmp6,LPM-2,,,
pdlim1,LPM-2,,,
bmp4,LPM-2,,,
cdh11,LPM-2,,,
ccn1,LPM-2,,,
twist1a,LPM-2,,,
podxl,LPM-2,,,
sfrp5,LPM-2,,,
bambia,LPM-2,,,
pdgfra,LPM-2,,,
vox,LPM-2,,,
gdf3,LPM-2,,,
tbx1,LPM-1,,,
prdm1a,LPM-3,,,
her6,LPM-3,,,
nkx2.5,LPM-3,,,
serpinh1b,LPM-3,,,
marcksl1a,LPM-3,,,
hspb1,LPM-3,,,
aldh1a2,LPM-3,,,
rbms2b,LPM-3,,,
tmem88a,LPM-3,,,
ackr3b,LPM-3,,,
rdh10a,LPM-3,,,
irx3a,LPM-3,,,
ptmaa,LPM-3,,,
emp2,LPM-3,,,
ndnf,LPM-3,,,
dla,Neural,,,
nova2,Neural,,,
mdkb,Neural,,,
fabp3,Neural,,,
mdka,Neural,,,
sox3,Neural,,,
her15.1,Neural,,,
otx2b,S2:head meso,,,
fzd8b,S2:head meso,,,
plpp1a,S2:head meso,,,
lmx1bb,S2:head meso,,,
met,S2:head meso,,,
nrp2a,S2:head meso,,,
meox1,S3:cthrc1a+ cranial-pharyngeal meso,,,
egfl6,S3:cthrc1a+ cranial-pharyngeal meso,,,
fsta,S3:cthrc1a+ cranial-pharyngeal meso,,,
kirrel1b,S3:cthrc1a+ cranial-pharyngeal meso,,,
colec12,S3:cthrc1a+ cranial-pharyngeal meso,,,
cthrc1a,S3:cthrc1a+ cranial-pharyngeal meso,,,
zic2a,S4:foxd1+ cranial-pharyngeal meso,,,
foxd1,S4:foxd1+ cranial-pharyngeal meso,,,
fibina,S4:foxd1+ cranial-pharyngeal meso,,,
foxl2a,S4:foxd1+ cranial-pharyngeal meso,,,
rasl11a,S4:foxd1+ cranial-pharyngeal meso,,,
nid1b,S4:foxd1+ cranial-pharyngeal meso,,,
rarga,S5:first pharyngeal arch prog,,,
irx1b,S5:first pharyngeal arch prog,,,
pitx3,S5:first pharyngeal arch prog,,,
rspo3,S5:first pharyngeal arch prog,,,
cdc42ep4a,S5:first pharyngeal arch prog,,,
foxi1,S5:first pharyngeal arch prog,,,
meis3,S6:SHF prog,,,
hoxb3a,S6:SHF prog,,,
hoxb1b,S6:SHF prog,,,
meis2a,S6:SHF prog,,,
angptl7,S7:kazald2+ cranial-pharyngeal meso,,,
loxl2a,S7:kazald2+ cranial-pharyngeal meso,,,
thbs2b,S7:kazald2+ cranial-pharyngeal meso,,,
twist1b,S7:kazald2+ cranial-pharyngeal meso,,,
kazald2,S7:kazald2+ cranial-pharyngeal meso,,,
fn1b,Tailbud,,,
tbx16,Tailbud,,,
hes6,Tailbud,,,
cdx4,Tailbud,,,
hoxb9a,Tailbud,,,
hoxb7a,Tailbud,,,
msgn1,Tailbud,,,
apoc1,Tailbud,,,
