,x_shift,y_shift,cluster
0,-11850.883588052222,-7147.274522908154,cluster_5
1,-11872.866319012039,-7110.675549452191,cluster_5
2,-11833.62388582581,-7176.0101420083,cluster_5
3,-11863.849385874548,-7125.687810538244,cluster_5
4,-11819.193277561366,-7200.035612264435,cluster_5
5,-11811.572328059363,-7212.723704978797,cluster_5
6,-11875.660934987505,-7106.022802889779,cluster_5
7,-11878.199932569405,-7101.795634514998,cluster_5
8,-11864.404762401788,-7124.763166060919,cluster_5
9,-11808.675928904491,-7217.545910007862,cluster_5
10,-11884.234769367302,-7091.748255407231,cluster_5
11,-11879.348424541286,-7099.88351416607,cluster_5
12,-11827.926441376085,-7185.495797751593,cluster_5
13,-11855.796953625131,-7139.094277400393,cluster_5
14,-11856.813576424775,-7137.401705584503,cluster_5
15,-11834.483718947165,-7174.5786087905835,cluster_5
16,-11863.584388625006,-7126.129003551051,cluster_5
17,-11848.223791996224,-7151.702808248571,cluster_5
18,-11862.994229356074,-7127.111557695844,cluster_5
19,-11763.28043754801,-7293.124708029511,cluster_5
20,-11848.95986382436,-7150.4773247838975,cluster_5
21,-11832.615587714445,-7177.688854079195,cluster_5
22,-11824.192663997352,-7191.71215091647,cluster_5
23,-11841.164788984725,-7163.455318176281,cluster_5
24,-11750.658568464698,-7314.1388146202335,cluster_5
25,-11830.258819122133,-7181.612630033582,cluster_5
26,-11813.488448456772,-7209.533562694322,cluster_5
27,-11790.563413931197,-7247.701374128317,cluster_5
28,-11832.808753426112,-7177.367253147681,cluster_5
29,-11743.634927682395,-7325.832450093713,cluster_5
30,-11799.766811106445,-7232.378669704681,cluster_5
31,-11824.194414153875,-7191.709237086871,cluster_5
32,-11786.83042920458,-7253.916407609404,cluster_5
33,-11816.302828531489,-7204.847910950786,cluster_5
34,-11790.439933123089,-7247.906956902654,cluster_5
35,-11798.616036807416,-7234.294589892256,cluster_5
36,-11782.85313993757,-7260.538182882732,cluster_5
37,-11771.41895760176,-7279.574913876887,cluster_5
38,-11764.4850387987,-7291.119171534538,cluster_5
39,-11781.146047992292,-7263.380314413445,cluster_5
40,-11768.8511357811,-7283.8500716280205,cluster_5
41,-11754.656215633284,-7307.483145546322,cluster_5
42,-11771.214874222926,-7279.9146915950605,cluster_5
43,-11777.505638384404,-7269.441219896549,cluster_5
44,-11750.012592054956,-7315.214298531515,cluster_5
45,-11846.171825655189,-7155.119119979148,cluster_5
46,-11796.00747756504,-7238.637571237228,cluster_5
47,-11856.140875747775,-7138.521682636777,cluster_5
48,-11870.208087614048,-7115.101229798856,cluster_5
