,Anti-Mouse_raw,Anti-Mouse_high_pass,DAPI_raw,DAPI_high_pass,Anti-Rabbit_raw,Anti-Rabbit_high_pass,PolyT_raw,PolyT_high_pass
3068241300001100008,6737803.0,102080.8609300613,8368681.0,163402.02001041448,6205182.0,99996.9795333936,28187423.0,370785.29271285154
3068241300001100015,8233225.0,122962.47429628612,8174585.0,165066.95151264328,7892858.0,127432.0802019499,33719214.0,450090.9548920532
3068241300001200001,8772258.0,218128.66128916026,12160854.0,358704.73323301144,8090243.0,209726.0686586241,35881484.0,885847.5430176083
3068241300001200005,6074694.0,92029.50681816082,7698602.0,145493.07698519938,5595495.0,89544.6576452606,25425783.0,344471.44735344243
3068241300001200008,5729613.0,85628.21970395272,7526912.0,148238.91417681787,5309756.0,84182.70166235778,23950755.0,350790.88691410795
3068241300002100005,12165912.0,139781.6986805073,9233847.0,192730.03995572924,11718126.0,140409.2788298659,49235775.0,537642.3767624705
3068241300002100012,15844279.0,157644.74596263745,12029652.0,232902.17522318813,15187536.0,165790.10799037214,61882897.0,626937.6521026989
3068241300002100024,33185558.0,1141737.88775612,36324767.0,1282170.7082260519,31334289.0,1101628.4303592874,140222008.0,4239760.5116833225
3068241300002100028,23283918.0,295769.43939037144,29680990.0,414224.2729666933,22411761.0,303932.9262153226,96874840.0,786276.6854687275
3068241300002100046,20134184.0,253250.2435881768,20204024.0,469355.45660379453,19516098.0,251903.43660715374,80488474.0,691141.1143259953
3068241300002100048,21337379.0,269395.8328182467,22663311.0,290536.6251104987,20513399.0,272348.1346511492,88859546.0,719521.9120503478
3068241300002100052,18304099.0,220245.82179102488,23663684.0,301614.9265863469,17538267.0,226991.8879875359,78862893.0,584771.4573258479
3068241300002100057,66371407.0,753737.3931927956,131095751.0,1367559.2223027253,57645352.0,730781.0644043733,296445828.0,2048050.1582306814
3068241300002200016,4586889.0,57357.525145365,4820648.0,69004.38883857211,4381830.0,60111.90206636736,19325663.0,154113.3977290155
3068241300002200019,14186166.0,180225.20771252955,18220104.0,244352.69823686444,13556162.0,183500.72800104358,59003452.0,477046.33519509214
3068241300002200023,7091495.0,92767.4778389532,8118771.0,107114.39252661548,6806472.0,94170.9610888889,28981885.0,231650.06959224166
3068241300002200024,5207548.0,67197.09320127346,6038474.0,85012.230866677,5035004.0,68253.94190975153,21365222.0,173759.73030784726
3068241300002200027,11348044.0,146632.91137234002,11625131.0,165319.32867877942,11098693.0,151730.96278922306,46190213.0,366254.37935771316
3068241300002200028,16312819.0,216467.10318907927,15940372.0,237940.61340631626,16088213.0,223331.29956486242,66261610.0,536288.4287622703
3068241300002200033,9274094.0,119011.57454056904,9870729.0,239210.3551053271,9019490.0,116448.52048787351,36787627.0,322741.6528537425
3068241300002200034,5869871.0,94319.18691193816,5800083.0,128032.70146348877,5621894.0,90947.43595363779,24258964.0,364098.25373187795
3068241300002200036,6788716.0,109315.03219048711,6718922.0,138481.9212626616,6646593.0,110078.22023991415,28665812.0,350917.7580767382
3068241300002200037,5439745.0,80725.20080043375,5213585.0,96942.28038013866,5337114.0,85733.45054920822,22995141.0,269692.7363948453
3068241300002200040,25951896.0,271431.99955665955,25775570.0,512766.5713789518,25250970.0,279726.5230970824,107015911.0,904749.7025146501
3068241300003100029,4343778.0,46733.11729833405,2696726.0,56290.351498908996,4124420.0,48128.386331601374,17078921.0,172381.250568
3068241300003100031,8158098.0,89145.21387211271,5626863.0,114493.11362475452,7746030.0,90553.93024073273,32077626.0,312952.52632180636
3068241300003100036,24580818.0,273054.98430227046,15799532.0,319867.4589011465,24295923.0,280906.4747978107,99333663.0,1068736.1729182217
3068241300003100041,10466134.0,115472.38451713209,7682106.0,144694.72757383907,10188947.0,116657.34564321824,42108231.0,366814.68187120924
3068241300003100054,31750702.0,479150.0112864791,25955213.0,507065.94585463224,29818917.0,495681.921690284,119666939.0,1253712.5444115493
3068241300003100059,49135625.0,632992.6433731938,35206904.0,658399.6579126756,45922806.0,648690.7664132292,220146497.0,2197700.689636627
3068241300003100068,24704201.0,277743.66956467525,17969711.0,333419.17479726824,23847467.0,283632.6483235919,94660355.0,775454.7813051869
3068241300003100071,24659931.0,297312.94202156534,17413589.0,300619.4176336964,24209997.0,305820.4810635776,98421127.0,835787.982730464
3068241300003200034,22835636.0,224939.93025216568,15560139.0,298194.1386907239,22146430.0,236694.1334281746,94194532.0,922053.0445989667
3068241300003200039,26162107.0,338488.4958906309,16660398.0,316955.677538022,24656565.0,356308.1647346754,101386903.0,936843.1992806946
3068241300003200055,89999537.0,824685.2133582947,68943749.0,1119335.1394906726,88038893.0,848395.6295460272,365218462.0,3064217.2828998924
3068241300004100021,4800535.0,187371.37845422668,3099144.0,64726.556197549144,4796113.0,188647.98096126303,19563207.0,207820.42949985006
3068241300004100026,29471490.0,449248.86874758126,18662092.0,388749.03090579156,29227454.0,456508.80943388236,121435051.0,1356254.63608015
3068241300004100029,5831747.0,87511.57314002962,3646046.0,77862.80967204299,5805815.0,91699.83451320033,23947778.0,256142.74886522072
3068241300004100031,7102477.0,105384.06642544175,4713182.0,102368.51351509929,7098934.0,111302.16201933549,29115579.0,316978.99314252794
3068241300004100034,4544127.0,67944.52483299625,2978935.0,62318.88267482525,4527773.0,70688.72103813206,18609350.0,199919.78901583698
3068241300004100035,58375564.0,860337.8432887418,39790473.0,807770.9590276892,57782981.0,890118.4816308916,240990627.0,2593215.6950239493
3068241300004100055,35983287.0,507433.64112026076,26531156.0,511557.50039614254,35532891.0,528363.9690672137,146306620.0,1502085.8381990064
