,x_shift,y_shift,cluster
0,-4922.06636653987,-9232.980679964066,cluster_5
1,-4918.659276996499,-9240.956231944874,cluster_5
2,-4912.339219716988,-9255.750661240838,cluster_5
3,-4921.701134004943,-9233.835641663874,cluster_5
4,-4926.77336949432,-9221.962200332362,cluster_5
5,-4914.826394716288,-9249.928509154792,cluster_5
6,-4933.659889022913,-9205.84175683712,cluster_5
7,-4927.746692698299,-9219.683777734823,cluster_5
8,-4926.785758205797,-9221.933199975576,cluster_5
9,-4933.7526463918275,-9205.624623941738,cluster_5
10,-4934.99728347474,-9202.711090961277,cluster_5
11,-4928.182846462096,-9218.662798693766,cluster_5
12,-4905.998078847812,-9270.594444468703,cluster_5
13,-4922.426739465351,-9232.137093975773,cluster_5
14,-4899.588778157088,-9285.597780943657,cluster_5
15,-4905.154230388613,-9272.569783585743,cluster_5
16,-4932.872430635066,-9207.685094156277,cluster_5
17,-4913.127121312616,-9253.906286430109,cluster_5
18,-4915.746883915319,-9247.773764067764,cluster_5
19,-4920.496033023667,-9236.656625790043,cluster_5
20,-4657.460699769645,-9852.388013665668,cluster_5
21,-4627.37103533541,-9922.823991272186,cluster_5
22,-4609.577906672914,-9964.475383389261,cluster_5
23,-4672.802420861961,-9816.475046750878,cluster_5
24,-4642.160881929537,-9888.2028905356,cluster_5
25,-4598.477587095199,-9990.459782879987,cluster_5
26,-4854.809039116953,-9390.421306083012,cluster_5
27,-4847.346301058752,-9407.890601957002,cluster_5
28,-4829.160712153801,-9450.460692283867,cluster_5
29,-4789.585290360652,-9543.101589934398,cluster_5
30,-4782.355945668122,-9560.024542398216,cluster_5
31,-4773.954512907222,-9579.691200067424,cluster_5
32,-4751.147735385823,-9633.078889859884,cluster_0
33,-4717.2162879274765,-9712.507980156204,cluster_5
34,-4701.193613728541,-9750.014969426202,cluster_5
35,-4867.451142971923,-9360.82779080888,cluster_0
36,-4858.907677695076,-9380.82692806205,cluster_5
37,-4863.744001616901,-9369.505724922676,cluster_0
38,-4838.210338425223,-9429.27669819864,cluster_5
39,-4863.537460228305,-9369.98921135882,cluster_5
40,-4822.022238476417,-9467.170927560297,cluster_5
41,-4812.7183359740075,-9488.950149118094,cluster_5
42,-4760.837556883204,-9610.396282298989,cluster_5
43,-4743.2821976789055,-9651.491087144388,cluster_5
44,-4734.480526115256,-9672.0946516179,cluster_5
45,-4729.310791173689,-9684.19632644288,cluster_5
46,-4719.386661322891,-9707.427419280846,cluster_5
47,-4721.68484605469,-9702.047668746956,cluster_5
48,-4913.643213601816,-9252.698181733414,cluster_5
49,-4894.235284081322,-9298.12961192042,cluster_5
50,-4893.112642045464,-9300.757570416623,cluster_5
51,-4906.930469809036,-9268.411838909615,cluster_5
52,-4873.672982080509,-9346.263277433147,cluster_0
53,-4902.876932884692,-9277.900639845044,cluster_5
54,-4886.438533963887,-9316.380786435031,cluster_5
55,-4888.082322854261,-9312.53289116437,cluster_5
56,-4908.715131634647,-9264.234178482106,cluster_5
57,-4878.929503404141,-9333.958447013762,cluster_5
58,-4912.517122603135,-9255.33421380148,cluster_5
59,-4894.94818661444,-9296.460800127319,cluster_5
60,-4914.990789813684,-9249.543681686073,cluster_5
61,-4880.005718337951,-9331.43916830451,cluster_5
62,-4872.661739070081,-9348.630465348882,cluster_1
63,-4909.618975898837,-9262.118397015303,cluster_5
64,-4900.804511401362,-9282.751908077369,cluster_5
65,-4905.239821381295,-9272.369426241874,cluster_5
66,-4886.203693974882,-9316.930516201635,cluster_5
67,-4880.548763199684,-9330.167971152945,cluster_4
68,-4882.071852269415,-9326.602618410552,cluster_2
69,-4874.010361881394,-9345.473515348831,cluster_1
70,-4901.195964236043,-9281.835568077702,cluster_5
71,-4886.256562094321,-9316.806758833549,cluster_5
72,-4917.503906186969,-9243.660804228992,cluster_5
73,-4925.803932682906,-9224.2315253921,cluster_5
74,-4919.2285674290315,-9239.62359733723,cluster_5
75,-4894.509166986463,-9297.488487782412,cluster_5
76,-4911.207625810125,-9258.399574898804,cluster_5
77,-4884.321685396935,-9321.33605267218,cluster_5
78,-4863.913084061753,-9369.109924985285,cluster_0
79,-4914.394058070071,-9250.940552821745,cluster_5
80,-4914.675460549935,-9250.281826340648,cluster_5
81,-4879.977958206893,-9331.504151148498,cluster_5
82,-4893.650411518267,-9299.49872226208,cluster_5
83,-4890.860824927504,-9306.028780417693,cluster_5
84,-4888.578718584291,-9311.370893542204,cluster_5
85,-4911.11443839168,-9258.617714484015,cluster_5
86,-4894.485244644139,-9297.54448686382,cluster_5
87,-4872.128077945655,-9349.879696396032,cluster_2
88,-4890.5007388988315,-9306.871694817999,cluster_5
89,-4868.194871575557,-9359.08681920764,cluster_3
90,-4865.539936171484,-9365.301676507783,cluster_2
91,-4899.354785273474,-9286.145527747094,cluster_5
92,-4880.429980693654,-9330.44602549792,cluster_5
93,-4911.2104550277545,-9258.39295206956,cluster_5
94,-4883.353073333962,-9323.603447103453,cluster_5
95,-4872.086531557816,-9349.976951067978,cluster_5
96,-4892.4528590129585,-9302.302036391118,cluster_5
97,-4883.300766117015,-9323.725891472002,cluster_5
98,-4871.033382246059,-9352.442236166165,cluster_5
99,-4882.191305677813,-9326.32299357069,cluster_5
100,-4894.372627635969,-9297.80810858293,cluster_5
101,-4889.298105073568,-9309.686903653917,cluster_5
102,-4900.338209393106,-9283.843460224225,cluster_5
103,-4857.419145967571,-9384.311386576177,cluster_2
104,-4877.865253003134,-9336.449718313144,cluster_5
105,-4885.057826384071,-9319.612842690945,cluster_5
106,-4879.434276396583,-9332.776839313558,cluster_5
107,-4892.071943249803,-9303.193710481479,cluster_5
