,fov,volume,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_10_genes,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_120_genes,n_counts,clusters,cell type
3066494500026100111,,1091.2182107340338,5783.216330847029,5434.696026006792,5795.614668067955,5446.226326750307,1.0069800039226269,270,0.3774969593981056,0.9669334171946607,43,3.784189633918261,150.0,5.0172796,66.0,100.0,100.0,100.0,150.0,0,LPM-2
3066494500026100115,,686.0952889484308,5771.852909797547,5439.233883491196,5783.795401516542,5446.677925843225,1.6313494259704522,160,0.4944223097912285,0.9645010296020262,33,3.526360524616161,87.0,4.477337,66.66666666666666,100.0,100.0,100.0,87.0,0,LPM-2
3066494500026200116,,519.8141887033754,5790.928045966224,5433.718270173066,5803.788332741113,5439.118126702299,2.384354980530171,95,0.6084546273782242,0.9440796647661226,25,3.2580965380214817,36.0,3.6109178,58.333333333333336,100.0,100.0,100.0,36.0,0,LPM-2
3066494500026200123,,305.8526244416043,5824.083814216967,5441.33623223818,5830.917545417511,5447.331956773702,1.1808791273636263,119,0.7367500103315258,0.9291018085584428,35,3.58351893845611,78.0,4.3694477,60.256410256410255,100.0,100.0,100.0,78.0,0,LPM-2
3066494500027100097,,501.1969751296363,5842.363794955662,5439.16744033528,5850.992206460272,5448.507113377316,1.3791710791844685,180,0.5722150679868591,0.953999416219788,49,3.912023005428146,110.0,4.7095304,52.72727272727272,100.0,100.0,100.0,110.0,1,LPM-1
3066494500027100103,,955.1209502379986,5850.588368611316,5441.405006003532,5867.594521707761,5451.471622085123,1.704739168184792,309,0.5555248570955639,0.718552711954082,64,4.174387269895637,185.0,5.2257466,51.891891891891895,92.43243243243244,100.0,100.0,185.0,1,LPM-1
3066494500027100112,,858.9915924731484,5845.975747567731,5444.84377511514,5856.403464281128,5457.0380278457005,1.3866035066708473,262,0.4284804426048393,0.9627867640673538,46,3.8501476017100584,162.0,5.09375,63.580246913580254,100.0,100.0,100.0,162.0,1,LPM-1
3066494500027100119,,1830.850596788512,5832.294318088827,5448.708607282692,5850.766383441293,5462.877495430925,1.1972564578750853,686,0.2923868704854284,0.9546543103221756,91,4.5217885770490405,498.0,6.212606,53.21285140562249,89.7590361445783,100.0,100.0,498.0,3,CM
3066494500027100127,,1109.261167047107,5860.603513477656,5450.579958928483,5873.252069175431,5462.399142010839,1.1168064584721793,355,0.3866806596378155,0.9471263177191016,61,4.127134385045092,231.0,5.4467373,54.54545454545454,95.23809523809523,100.0,100.0,231.0,1,LPM-1
3066494500027100139,,929.2596343729842,5856.955759486139,5457.453052990903,5871.259315340589,5469.189178242651,1.7632157619500304,350,0.4434617751338643,0.9395775326409482,67,4.219507705176107,223.0,5.411646,48.4304932735426,92.37668161434978,100.0,100.0,223.0,1,LPM-1
3066494500027100142,,1218.2481322770204,5847.825410290905,5459.969195438792,5862.451273958509,5471.919052223666,1.4500651693924484,596,0.3554245345066099,0.9844339091860624,78,4.3694478524670215,430.0,6.066108,51.86046511627907,93.48837209302326,100.0,100.0,430.0,3,CM
3066494500027100152,,599.3348309230344,5867.587832052409,5464.551300280867,5876.154090418933,5474.698664023537,1.4543436496176805,182,0.5059340513564292,0.9866201611271544,45,3.828641396489095,106.0,4.6728287,52.83018867924528,100.0,100.0,100.0,106.0,1,LPM-1
3066494500027100160,,1077.0911096711077,5860.617779471903,5469.491953321265,5874.182236472265,5480.656828287216,1.0542786742337151,363,0.3893119625083102,0.9597147122081544,68,4.23410650459726,229.0,5.4380794,48.03493449781659,92.13973799126637,100.0,100.0,229.0,1,LPM-1
3066494500027200103,,442.5894137548815,5836.432831581152,5443.538937964418,5846.34559883215,5450.235334625525,1.3807928308984243,81,0.6250254371181952,0.9496085075037268,31,3.4657359027997265,53.0,3.988984,58.490566037735846,100.0,100.0,100.0,53.0,1,LPM-1
3066494500027200178,,361.025540208537,5870.066348261384,5480.613557741202,5876.840101781874,5488.344573532073,1.8229685725771227,90,0.6643681017766273,1.0,31,3.4657359027997265,60.0,4.1108737,61.66666666666667,100.0,100.0,100.0,60.0,1,LPM-1
3066494500027300149,,240.28206654417573,5887.538529791314,5484.444389634656,5892.351509345568,5491.069157409152,1.4282050249993234,66,0.8041481862185165,0.9733510952772352,16,2.833213344056216,29.0,3.4011974,79.3103448275862,100.0,100.0,100.0,29.0,1,LPM-1
3066494500035100026,,413.315023665836,5896.348605255785,5501.562496941581,5904.441197992668,5508.911607530656,1.3914493779487007,133,0.6298740269911961,0.9355288196901762,32,3.4965075614664802,65.0,4.189655,61.53846153846154,100.0,100.0,100.0,65.0,1,LPM-1
3066494500035100039,,843.5655716843688,5913.201529323392,5509.1067638481545,5927.230343796255,5517.929660072095,1.864005066460824,213,0.4400181183433078,0.9712427730097928,36,3.6109179126442243,91.0,4.5217886,62.637362637362635,100.0,100.0,100.0,91.0,1,LPM-1
3066494500035100042,,1485.44634475075,6007.826875269321,5513.967760731122,6026.326625198549,5526.904559430541,1.6217386889253709,365,0.3434906982997167,0.9305735071554678,63,4.1588830833596715,216.0,5.379897,54.166666666666664,93.98148148148148,100.0,100.0,216.0,1,LPM-1
3066494500035100050,,869.6849443781493,5985.233497494876,5526.494301872285,5997.380207408287,5538.186589374415,1.038060681096478,250,0.4483994516884805,0.8941279139833194,50,3.9318256327243257,182.0,5.209486,60.43956043956044,100.0,100.0,100.0,182.0,1,LPM-1
3066494500035100052,,1576.3303881557874,5953.551927753874,5527.243785259383,5973.987405972583,5538.037001790854,2.5079328933182667,476,0.346379606881347,0.9800671696378552,63,4.1588830833596715,247.0,5.5134287,48.178137651821864,94.73684210526315,100.0,100.0,247.0,1,LPM-1
3066494500035100058,,776.7668556503291,6020.425263533663,5535.343570053233,6031.668000565784,5544.70202510052,1.40565813945437,366,0.4399875113993015,0.9942075514621136,60,4.110873864173311,285.0,5.655992,68.42105263157895,96.49122807017544,100.0,100.0,285.0,3,CM
3066494500035100060,,817.7885820442891,6031.343505923642,5536.424542858151,6042.1369002949305,5546.715485229589,1.0259520128983963,267,0.4482392088128571,0.945664274563642,52,3.9702919135521215,192.0,5.26269,69.79166666666666,98.95833333333334,100.0,100.0,192.0,2,CM
3066494500035100069,,406.6070093838857,6057.599955235609,5552.738730611016,6065.205363874613,5561.826798902858,1.178216342910447,144,0.6740629491685415,0.8899689988216747,31,3.4657359027997265,103.0,4.644391,72.81553398058253,100.0,100.0,100.0,103.0,2,CM
3066494500035100071,,1344.1624477164028,6073.944963347196,5557.527744716706,6086.083180254886,5574.76122124465,1.3273928628227625,383,0.3654736869575207,0.9148124853866868,64,4.174387269895637,236.0,5.46806,55.08474576271186,94.0677966101695,100.0,100.0,236.0,0,LPM-2
3066494500035100072,,1198.211320049145,6084.8272935679,5564.928712351873,6103.46501137505,5584.318307558363,4.043095691239876,273,0.4932746718768074,0.8850993422277476,41,3.737669618283368,125.0,4.836282,58.4,100.0,100.0,100.0,125.0,0,LPM-2
3066494500035100073,,477.7287997101826,6082.850351422116,5568.928408222599,6091.377501521025,5577.778819839352,1.03431106834079,170,0.6048900859953337,0.919525299081221,42,3.7612001156935624,115.0,4.75359,64.34782608695652,100.0,100.0,100.0,115.0,0,LPM-2
3066494500035100080,,284.36838544748633,6096.159901601863,5590.672635232307,6102.377014467464,5597.765911531167,1.789831087489377,82,0.7511272042011593,1.0000000000000002,26,3.295836866004329,49.0,3.912023,67.3469387755102,100.0,100.0,100.0,49.0,0,LPM-2
3066494500035200058,,1158.014007257087,5973.700812310224,5531.045713591194,5990.735040983418,5540.660491739751,1.8950852544535133,266,0.3859588006572104,0.9638209620493946,40,3.7135720667043075,132.0,4.890349,64.39393939393939,100.0,100.0,100.0,132.0,1,LPM-1
3066494500035200060,,701.6145117688153,5991.157603464459,5532.942570892501,6003.586457300546,5540.305656401663,1.5524817529211756,237,0.472039612341855,0.9968508533711808,60,4.110873864173311,170.0,5.1416636,42.35294117647059,94.11764705882352,100.0,100.0,170.0,3,CM
3066494500035200063,,1020.1738323460291,6039.00946585328,5542.829969631962,6052.266134332044,5554.526865607124,1.1245873531261927,379,0.4238779571821393,0.8970430500325346,58,4.07753744390572,287.0,5.6629605,67.94425087108013,97.21254355400697,100.0,100.0,287.0,2,CM
3066494500035200066,,1177.5985020684436,6049.17623154628,5544.415329022344,6064.3833527261495,5558.124468079602,1.0341693237021907,376,0.4637135283914127,0.8900227803928393,55,4.025351690735149,231.0,5.4467373,63.20346320346321,97.83549783549783,100.0,100.0,231.0,0,LPM-2
3066494500035200068,,1573.5298982470829,6062.068186292349,5550.568596696387,6076.832396240417,5567.195101042055,1.4520221224749843,635,0.3501991359399733,0.9026545725816932,71,4.276666119016055,398.0,5.988961,63.06532663316583,94.72361809045226,100.0,100.0,398.0,0,LPM-2
3066494500035200078,,1100.3352720335793,6083.092875641718,5577.138459589497,6097.548194157993,5587.775204889016,1.507379916522473,366,0.3781249039469818,0.9596521278163233,47,3.8712010109078907,258.0,5.556828,73.25581395348837,100.0,100.0,100.0,258.0,0,LPM-2
3066494500035200080,,508.37131445870136,6091.912969968836,5584.06165310382,6100.515523230825,5592.328759689171,1.157770533349683,101,0.5435949255309019,0.9606810155201888,29,3.4011973816621555,67.0,4.2195077,64.17910447761194,100.0,100.0,100.0,67.0,0,LPM-2
3066494500035200088,,571.6907803648332,6101.776027094351,5597.341545542481,6109.964044121189,5605.751561273935,1.025006464447427,123,0.5127983415297549,0.9730771137415616,28,3.3672958299864737,58.0,4.0775375,65.51724137931035,100.0,100.0,100.0,58.0,0,LPM-2
3066494500035300039,,629.4018876404687,6004.392059637865,5523.686376477084,6014.897402237433,5530.801194041683,1.4930746772921926,139,0.4784335554113736,0.9989736572644582,33,3.526360524616161,88.0,4.4886365,64.77272727272727,100.0,100.0,100.0,88.0,1,LPM-1
