,PolyT_raw,PolyT_high_pass,Anti-Rabbit_raw,Anti-Rabbit_high_pass,DAPI_raw,DAPI_high_pass,Anti-Mouse_raw,Anti-Mouse_high_pass
3071341200007100006,15004405.0,133817.153456602,8544743.0,120422.93530508668,2818446.0,49400.84019979872,7409293.0,95074.39134591397
3071341200007100009,14895034.0,317545.5759774926,7997716.0,114459.4429896328,2692197.0,69834.24339648563,7059917.0,95974.55506875191
3071341200007100014,70146958.0,653590.4451861831,39976324.0,552717.7120033093,12908453.0,222460.0652099287,34727361.0,447050.4109201948
3071341200007100015,163972145.0,1541277.4721917878,90260073.0,1273285.34707694,30964208.0,538532.2912135748,79015906.0,1060170.9419277967
3071341200007100032,21286345.0,3410295.4337414238,27246546.0,1004559.3167067729,3585271.0,586610.676612187,23484326.0,842709.915266797
3071341200007100040,11072130.0,106355.97981416121,6142213.0,80364.64369328722,1908259.0,31923.56039208615,5348401.0,67301.75653630772
3071341200007100062,14516732.0,131127.41828531615,8037265.0,104128.69179064069,2336776.0,40072.37726617731,6836205.0,83320.98550182878
3071341200007100064,70491199.0,679518.9339453048,38331670.0,503898.22751605336,11414203.0,189706.6487359549,32801787.0,389118.8818519446
3071341200007100066,15157395.0,3335200.047691438,20587968.0,925924.397012434,2429652.0,536468.7391014793,17950179.0,795580.1817796766
3071341200007200004,38543659.0,5625850.166885694,43301153.0,1721215.7312819841,7287289.0,1085768.3352066681,37746030.0,1479382.0349003463
3071341200007200005,47703306.0,992131.5322309218,26009476.0,375223.9229829641,8910448.0,254807.7497125649,22967772.0,312670.3090682734
3071341200007200008,14336657.0,958316.6793325371,8910968.0,316049.17015003983,2651452.0,193957.93982768327,7855073.0,275358.96765609307
3071341200007200011,18698037.0,678996.2816488761,10521296.0,160133.49203403425,3468518.0,149093.86474432002,9272123.0,130491.76318468277
3071341200007200025,31026543.0,5605495.03005137,36312625.0,1540302.925067784,5622685.0,1027129.9385104659,31300881.0,1312995.1181914215
3071341200007200049,26360722.0,3497037.0657927385,33267748.0,1105845.8484711726,4355269.0,593757.5468434091,28706966.0,938458.7275466707
3071341200007200054,9149700.0,2261983.898377611,13184393.0,623344.2891148403,1526145.0,377252.3276740143,11584277.0,539958.4700186306
3071341200008100004,18160302.0,912575.7055917173,11034507.0,581160.5619734316,3336183.0,188954.9246470814,9688443.0,506464.69253674184
3071341200008100005,15437524.0,1085108.8059393293,9573517.0,651467.3140476292,2791145.0,211059.85617296494,8314759.0,556627.1982889663
3071341200008100014,22934783.0,1479990.7985280002,13281961.0,843755.4070118085,4199084.0,292308.4190542579,11587551.0,730705.2778480763
3071341200008100017,16866020.0,1354656.0464792065,10153912.0,764980.0194641389,3091946.0,263427.2093638792,8816317.0,663430.4313256714
3071341200008100027,112480920.0,939512.3389744186,64269161.0,851612.2434058803,19866107.0,293507.1556145606,55604349.0,693931.6157103924
3071341200008100049,11061427.0,2371997.9554087245,14683324.0,647298.2886565167,1876812.0,403653.709118573,12669083.0,552112.9165083816
3071341200008100065,8100899.0,1651597.0405803637,11205963.0,485196.2367686666,1286351.0,263446.97720689035,9803845.0,414432.445288007
3071341200008100066,5820237.0,1224374.357140513,7795011.0,325827.4790371564,949838.0,200519.60058403798,6855881.0,283579.29948191857
3071341200008100075,11074063.0,2195604.5043254877,14868021.0,633773.3284092366,1781590.0,353432.9430181022,13274446.0,556022.0966081617
3071341200008100084,13255797.0,1763444.408454747,17948196.0,603339.3940888838,2445607.0,333848.7829614229,15978148.0,522690.2372232844
3071341200008100086,22392911.0,3961370.8872031053,27586371.0,1202854.7837561746,3943894.0,705033.0252237761,24804736.0,1068905.2839575023
3071341200008100090,8020007.0,1707959.7856267963,10296351.0,451932.11326728156,1339982.0,287058.1244844945,9295558.0,402121.15777017764
3071341200008100099,70090203.0,560935.1603858934,38828745.0,498836.8627506774,12512951.0,184038.24473545872,34589313.0,407308.80129682866
3071341200008100102,7256732.0,1454990.9945066592,8649132.0,388737.784527389,1461044.0,294395.5294303306,7799658.0,348879.4959584126
3071341200008100105,57886136.0,420006.3314465055,32650273.0,399686.44178309006,10910970.0,149062.062650422,29329500.0,329795.15145306743
3071341200008100107,21090628.0,1261261.6685996791,12314506.0,772540.0389275299,3670007.0,242700.08223248564,10773756.0,663851.9361123887
3071341200008100111,47297148.0,2110620.1696647177,28132327.0,1341037.851369527,9089667.0,472947.8115230334,24092732.0,1129697.2711582219
3071341200008100112,62587535.0,3219196.497641174,37395705.0,2093280.5810104639,11984078.0,700941.8499563579,31839217.0,1766808.0920386543
3071341200008100113,32926043.0,1965688.8222541744,17391935.0,1051220.4577994328,5900987.0,377903.6028999055,14905794.0,894615.2338611308
3071341200008100115,51441662.0,2575866.2688838565,32066892.0,1696134.3191032324,9466104.0,532338.1226261059,27723615.0,1447663.6702922448
3071341200008100117,44078722.0,1439598.238766834,25551858.0,763194.5679766029,7603070.0,300121.7570955578,22331029.0,644804.554272823
3071341200008100124,26617271.0,1010554.5045966961,15496420.0,525642.8725258928,4958076.0,222206.4930044478,13535247.0,454024.5109528698
3071341200008100125,28831647.0,1375237.7463169321,17386043.0,681543.6626188847,5422942.0,297297.1233034563,15047383.0,584173.1250306905
3071341200008100131,14498770.0,892546.598445559,7407465.0,225245.74042675318,2508812.0,166137.17002926988,6310435.0,189506.03051345606
3071341200008100142,92835107.0,757688.8732905253,51523093.0,566145.8220574647,18140669.0,235861.7101933994,45962442.0,484601.5623497497
3071341200008100148,20360525.0,158221.76247040374,11357367.0,106667.75208309422,3927979.0,47497.3255683185,10049296.0,93306.42238367107
3071341200008100150,106358245.0,634594.0411111903,59240589.0,492352.9707072375,22152381.0,246832.71824459778,53298574.0,447246.5679981332
3071341200008100158,60777317.0,478472.4473550622,31414934.0,286295.8511392773,12429891.0,179383.41945351934,27497593.0,236560.45730158372
3071341200008200006,15565428.0,1174817.2454236923,9352742.0,664160.0796857685,2920519.0,237402.61318123652,8207928.0,579222.8376882967
3071341200008200017,31552934.0,1510855.7890833844,18656099.0,931383.3271707724,5811420.0,318744.6747907143,16166844.0,798897.3026118176
3071341200008200019,45963925.0,413376.8992563286,24790107.0,354193.071158882,8325511.0,128630.71405664294,21848224.0,291648.54532695777
3071341200008200022,16627027.0,137009.3292607977,9564199.0,131292.2969560007,3077401.0,48584.25317263171,8360724.0,106462.09083598515
3071341200008200025,150080288.0,1219233.9293191086,86094101.0,1168037.1262867523,27869972.0,424464.2479418167,75670223.0,964447.9600336347
3071341200008200027,60757461.0,485549.45732195873,34462033.0,460532.47037638526,11087725.0,164884.54893681355,30058808.0,373083.12375614117
3071341200008200031,17753714.0,2330138.8961192933,21767384.0,767028.5123211447,3012787.0,404574.11357054143,18692334.0,640522.059997065
3071341200008200035,30880857.0,265182.2308555328,17301257.0,224822.97332142468,5379488.0,78442.28072009832,14955159.0,182618.55416261737
3071341200008200042,9739193.0,77552.29374974722,5388447.0,68614.69478055758,1877035.0,28434.0685245469,4623108.0,54727.57054077996
3071341200008200043,18878205.0,2895448.961075196,24237102.0,919995.2779370958,3099202.0,481007.6744590169,21071332.0,795849.4048014451
3071341200008200044,73022590.0,603214.1245361441,40976278.0,526204.2032322967,12721116.0,191726.0343173627,35693997.0,422354.6910748681
3071341200008200045,55485228.0,571500.3685426267,26858100.0,340701.50130495516,10670857.0,162927.6647172337,23113998.0,271176.91045474843
3071341200008200054,4049868.0,893100.8575227107,5698141.0,237892.74828792023,668084.0,147471.29464171606,4926121.0,202454.2804838207
3071341200008200060,18343122.0,3705414.6733904583,24861398.0,1104622.2751770865,2980056.0,605533.5477802686,21630732.0,946781.958880849
3071341200008200067,22043578.0,3384395.3882713495,28791249.0,1086469.4967016438,3631357.0,563944.1506266616,25352807.0,940803.9865274808
3071341200008200070,58852378.0,464833.8097337119,32860848.0,411030.2396490642,8639333.0,126859.58111872799,29042260.0,324020.37648536486
3071341200008200077,7794288.0,1235373.4977547994,10897551.0,395804.40424420405,1272953.0,204555.29823945285,9782347.0,345521.6241442254
3071341200008200082,10372356.0,2211824.995311816,13978908.0,614410.5347059361,1903138.0,407916.64916068286,12342285.0,533473.1191812296
3071341200008200085,71869576.0,544849.0619167167,39607538.0,486714.2820834649,11691450.0,166361.10858660005,34692655.0,373460.2932714135
3071341200008200089,9622863.0,1949520.1857728688,13133423.0,558291.861676554,1724931.0,351173.6127352032,11795658.0,493720.54649176943
3071341200008200105,93218626.0,729817.881723351,51693474.0,679589.672114504,16381474.0,243446.37151883708,46121176.0,565212.379535599
3071341200008200106,7282366.0,1808611.0157387413,10657073.0,416287.3046621023,1509636.0,377067.74584186426,9610258.0,370359.91068866424
3071341200008200110,85229651.0,644399.4328553294,47800276.0,629670.2532314651,16550794.0,246942.15415591843,42785257.0,527639.7290367819
3071341200008200111,44399404.0,1797762.1414908369,26825991.0,1203330.468026918,8354858.0,395755.0340751981,23160178.0,1022016.3582223224
3071341200008200112,93029138.0,3645922.4941124874,54025132.0,2376554.1323583317,16257246.0,749335.7863526978,46861933.0,2031896.9195429902
3071341200008200113,26987910.0,1344463.5827423963,15399762.0,741480.138581244,4831639.0,275917.07925609266,13365021.0,637205.4936002797
3071341200008200114,17827373.0,767330.0789208969,10263162.0,485300.7504906192,3380492.0,169520.68336118403,8888879.0,411777.69909601414
3071341200008200115,19298338.0,1145353.7239588506,11501805.0,710464.6747522694,3527520.0,231575.08242611092,10029077.0,613008.8953115346
3071341200008200116,17237176.0,990375.883976314,10846268.0,697786.6402199819,3200776.0,203580.14220070757,9387568.0,599358.7475472672
3071341200008200117,107008368.0,4075605.4587709582,63350813.0,2798593.858124595,19887858.0,917358.8341861463,54576202.0,2361741.5185835115
3071341200008200118,71892852.0,2631400.981568061,42195741.0,1770669.33613859,13292369.0,591011.9118173951,36270108.0,1499714.130829952
3071341200008200132,24133787.0,683339.134159476,13640205.0,189282.44359235145,4165893.0,147733.74811857496,11889627.0,156067.11020463976
3071341200008200135,26412357.0,1154415.6296768032,15183211.0,533763.1216683758,4940704.0,251328.6406193281,13209082.0,454647.750115028
3071341200008200137,22967519.0,1204802.3858784027,14410533.0,604273.2892903801,4271801.0,256318.5975246683,12420000.0,514637.00431945187
3071341200008200140,457391872.0,6925518.867133584,256344936.0,5089900.219719585,84699844.0,1979328.445338511,215986553.0,4169449.93389081
3071341200008200145,80802726.0,6116312.027476352,60070779.0,668043.6061736755,15551126.0,1251560.35933842,51454548.0,605000.1450277829
3071341200008200146,47546571.0,432348.4693638251,25525841.0,347591.33856693597,8914190.0,155249.54651043567,21830827.0,281942.55384243175
3071341200008200148,73704988.0,654557.7477711888,41103098.0,560103.6733059635,13189837.0,225791.074974549,35239540.0,448748.6368595721
3071341200008200151,41177774.0,387992.660608448,23045290.0,310329.8460288046,7671830.0,129926.4654386263,19746360.0,256799.31915334216
3071341200008200152,79341240.0,731999.9394098646,43574379.0,594092.242426592,14778351.0,254680.03759470183,37324632.0,483110.75028182345
3071341200008300001,320925182.0,2845157.550142769,99663908.0,1224274.3006707649,51834496.0,707714.6404163069,87156760.0,957601.2803661407
3071341200009100080,21742409.0,169897.91894792323,12424330.0,182903.99330162603,4097956.0,65186.56546563864,10467638.0,147881.45775901474
3071341200009100084,29134077.0,238628.46275530307,16412461.0,238479.92864176165,5098584.0,73868.06475147455,14266632.0,192961.88074787543
3071341200009100086,16206889.0,143333.22939311693,9040567.0,125126.46476121567,3062039.0,46090.0261598384,7793094.0,104751.96356478697
3071341200009100087,67655913.0,541140.956115077,38063005.0,543905.751682385,12149142.0,193328.19994871775,32640876.0,441228.7548849385
3071341200009100090,133430223.0,1107577.0915006266,71553833.0,952614.5317671008,23729544.0,366809.05317223823,61596376.0,774472.6937418105
3071341200009100118,126180367.0,843852.144159386,71465733.0,817882.3396480614,22547791.0,271723.33156958595,60870907.0,651406.5799827129
3071341200009100122,82312787.0,702559.5334886555,47108164.0,640159.0884808308,15842611.0,240245.1130677695,39051527.0,509388.265644598
3071341200009100123,102613310.0,788047.1717621542,53238051.0,656117.6049674907,21722340.0,315081.9649117789,46985763.0,525823.2170143658
3071341200009100126,55438235.0,440130.04900968197,29473344.0,394230.4065792982,10557449.0,152697.66940175474,25310885.0,304043.80703567504
3071341200009100127,47555323.0,404963.2707434429,26022064.0,345938.8238579788,9528972.0,134250.78245782622,22185390.0,273669.0841772404
3071341200009100128,118895502.0,956075.867528746,61082119.0,838583.7720877612,22299649.0,319720.0386325042,53309078.0,665433.6106637003
